02/02/2022,17:38:38,F00013NFN-002,test,0,0,2,2,0
02/02/2022,17:42:31,F00013NFN-002,test,0,0,4,4,0
02/02/2022,17:52:39,F00013NFN-002,test,0,0,6,6,0
02/02/2022,17:55:42,F00013NFN-002,ters,0,0,4,4,0
02/02/2022,18:00:11,F00013NFN-002,Test,0,1,8,9,11.1111111111111
02/02/2022,18:02:05,F00013NFN-002,test23,78,0,2,2,0
02/02/2022,18:03:32,F00013NFN-002,test,78,0,2,2,0
02/02/2022,18:12:33,F00013NFN-002,dogma,0,8,7,15,53.3333333333333
03/02/2022,09:24:29,F00013NFN-002,Test,78,0,2,2,0
03/02/2022,09:38:52,F00013NFN-002,testing,0,0,4,4,0
03/02/2022,09:41:44,F00013NFN-002,Testing,0,2,0,2,100
03/02/2022,10:47:34,F00013NFN-002,Testing,0,14,2,16,87.5
03/02/2022,13:10:51,F00013NFN-002,test,0,0,0,0,NaN
